crop,district,market,price,arrival,quantity,unit,literacy,forecast
Tomato,Tumkur,Tumkur Mandi,3016.55,2025-07-08,1920,quintal,80.8,Flood risk
Tomato,Tumkur,Tumkur Mandi,1778.86,2025-08-14,2819,kg,80.8,Rain expected
Rice,chitradurga,chitradurga market,1932.77,2025-08-19,2794,ton,81.8,Slight showers
Wheat,chitradurga,chitradurga market,1172.06,2025-08-06,2181,kg,81.8,Slight showers
Cotton,Mysuru,Mysuru Mandi,1597.68,2025-09-28,1730,ton,81.8,Flood risk
Wheat,davanagere,davanagere market,1926.63,2025-09-07,597,ton,89.2,Stable
Tomato,Mysuru,Mysuru Mandi,2332.31,2025-09-03,1734,quintal,81.8,Rain expected
Rice,Tumkur,Tumkur Mandi,2030.62,2025-08-12,2347,kg,80.8,Flood risk
Cotton,davanagere,davanagere market,2076.43,2025-07-15,986,kg,89.2,Slight showers
Rice,Kolar,Kolar Market,1794.67,2025-07-14,1539,ton,58.7,Price may drop
Tomato,Mysuru,Mysuru Mandi,841.67,2025-10-09,2782,kg,81.8,Flood risk
Cotton,Kolar,Kolar Market,2481.74,2025-08-07,475,quintal,58.7,Cold wave
Wheat,Mysuru,Mysuru Mandi,1276.36,2025-08-21,1913,ton,81.8,Rising prices
Wheat,Kolar,Kolar Market,883.76,2025-09-03,2509,kg,58.7,Drought warning
Wheat,davanagere,davanagere market,2010.15,2025-08-15,1631,kg,89.2,Sunny weather
Cotton,Tumkur,Tumkur Mandi,2886.93,2025-08-26,1244,quintal,80.8,Slight showers
Wheat,chitradurga,chitradurga market,1225.39,2025-07-18,1107,ton,81.8,Rising prices
Maize,Tumkur,Tumkur Mandi,3096.82,2025-07-24,1258,ton,80.8,Rain expected
Maize,Kolar,Kolar Market,1257.86,2025-07-19,2665,kg,58.7,Rain expected
Tomato,Tumkur,Tumkur Mandi,3289.89,2025-09-08,1576,kg,80.8,Stable
Tomato,chitradurga,chitradurga market,2649.59,2025-07-21,1602,kg,81.8,Drought warning
Maize,chitradurga,chitradurga market,930.93,2025-09-16,2384,quintal,81.8,Heatwave
Rice,chitradurga,chitradurga market,1225.02,2025-07-09,1681,kg,81.8,Flood risk
Tomato,Mysuru,Mysuru Mandi,3209.74,2025-07-02,841,quintal,81.8,Drought warning
