District Name,Taluk Name,Market Name,Address,Telephone,Commodity,Year,Month,Arrival,Unit,Price
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Jan,242,Quintal   ,2060
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Jan,65,Numbers ,1493
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Jan,151,Numbers ,1348
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Jan,492,Numbers ,3217
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Jan,364,Quintal   ,1537
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Jan,41,Numbers ,2232
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Jan,4,Quintal   ,2445
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Jan,21669,Quintal   ,3099
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ox  ,2012,Jan,233,Numbers ,1441
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ram  ,2012,Jan,180,Numbers ,2700
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sajje,2012,Jan,4649,Quintal   ,2410
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Baffalo  ,2012,Jan,290,Numbers ,2345
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Goat  ,2012,Jan,2948,Numbers ,2268
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sheep  ,2012,Jan,4027,Numbers ,1218
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sunflower,2012,Jan,990,Quintal   ,1294
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Alasande Gram,2012,Feb,5,Quintal   ,2680
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Feb,2872,Quintal   ,2109
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Feb,56,Numbers ,2104
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Feb,159,Numbers ,2660
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Feb,252,Numbers ,3913
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Feb,87,Quintal   ,2093
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Feb,56,Numbers ,2001
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Horse Gram,2012,Feb,5,Quintal   ,1407
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Feb,23,Quintal   ,2302
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Feb,5184,Quintal   ,2379
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ox  ,2012,Feb,94,Numbers ,3720
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Ram  ,2012,Feb,259,Numbers ,3687
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Baffalo  ,2012,Feb,258,Numbers ,3671
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,She Goat  ,2012,Feb,3230,Numbers ,1981
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sheep  ,2012,Feb,4940,Numbers ,2704
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Sunflower,2012,Feb,304,Quintal   ,2067
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Alasande Gram,2012,Mar,756,Quintal   ,3917
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bajra,2012,Mar,51312,Quintal   ,2251
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bengalgram,2012,Mar,14,Quintal   ,1139
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Bull  ,2012,Mar,94,Numbers ,1804
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Cow  ,2012,Mar,176,Numbers ,1465
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Goat  ,2012,Mar,507,Numbers ,3351
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Groundnut,2012,Mar,650,Quintal   ,2009
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,He Baffalo  ,2012,Mar,37,Numbers ,3902
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Jowar,2012,Mar,17,Quintal   ,1972
Bagalakot,Badami,BADAMI,SECRATRY A.P.M.C.BADAMI  BADAMI,220042,Maize,2012,Mar,10346,Quintal   ,1023
